广州

不锈钢 0  供应压力显著，价格存在回调压力
LPG 0  国内检修季炼厂减产和自用量的增加使得国内供给近期较明显收缩，炼厂库存持续下滑，因此海外市场在原油冲高回落后转而偏弱，但炼厂气价近日继续上调。地缘风险影响有所消退之后，国内化工开工率开始底部反弹，近期国产气偏强运行对盘面带来底部支撑，维持区间震荡
塑料 0.3  聚烯烃主力合约高位震荡加剧。塑料方面，地缘风险导致油价高位运行，但基本面库存累库积累风险。塑料基本面上检修较多从供应端给与一定支撑，但需求端农膜旺季顶点已过，后续新单跟进不足，部分企业已经开始降负生产。整体看成本端带来的扰动风险较大，但基本面供需中线趋势转弱。聚丙烯方面，供应端检修装置仍较为集中，短期压力不大。需求端，目前下游开工水平尚可，但采购谨慎，对高价货源仍有抵触，预计短期需求难有明显跟进平稳释放为主。
PP 0.3  聚烯烃主力合约高位震荡加剧。塑料方面，地缘风险导致油价高位运行，但基本面库存累库积累风险。塑料基本面上检修较多从供应端给与一定支撑，但需求端农膜旺季顶点已过，后续新单跟进不足，部分企业已经开始降负生产。整体看成本端带来的扰动风险较大，但基本面供需中线趋势转弱。聚丙烯方面，供应端检修装置仍较为集中，短期压力不大。需求端，目前下游开工水平尚可，但采购谨慎，对高价货源仍有抵触，预计短期需求难有明显跟进平稳释放为主。
PVC 0  PVC检修企业增多，缓解部分供应压力，但目前下游采购原料仍然延续逢低补货，部分制品企业前期阶段性采购现货，目前原料库存略偏高，多数大型下游管材企业开工同比去年偏低，短期刚需仍然偏弱。烧碱主力合约继续围绕5日均线宽幅震荡。基本面仍然较弱，供应较为充足，库存环比有所下降，但随着检修装置恢复库存仍有上涨驱动。目前液氯价格高位运行，氧化铝企业压价心态仍存，价格缺乏上行驱动，震荡整理为主。
烧碱 0  PVC检修企业增多，缓解部分供应压力，但目前下游采购原料仍然延续逢低补货，部分制品企业前期阶段性采购现货，目前原料库存略偏高，多数大型下游管材企业开工同比去年偏低，短期刚需仍然偏弱。烧碱主力合约继续围绕5日均线宽幅震荡。基本面仍然较弱，供应较为充足，库存环比有所下降，但随着检修装置恢复库存仍有上涨驱动。目前液氯价格高位运行，氧化铝企业压价心态仍存，价格缺乏上行驱动，震荡整理为主。
MEG 1  乙二醇周度库存继续上升，到港量预期在15万吨以上；国内装置检修较多，开工维持季节性低位，但5月份之后供应回升的预期令市场承压。年度新投压力低，需求韧性预期依旧较好是乙二醇长线改善的主要逻辑，关注二季度下游需求能否带来阶段性上行驱动。
橡胶 0  国际原油期货价格震荡偏弱，外盘丁二烯港口价亚洲持稳而欧洲上涨。目前东南亚天然橡胶供应由低产期进入增产期，中国云南产区陆续开割，海南产区试割，越南产区即将试割，密切关注产区物候天气；上周国内丁二烯橡胶装置开工率小幅回升。上周国内轮胎开工率小幅回落，主要受清明假期和个别企业检修的影响。本周青岛地区天然橡胶总库存回落，上周中国顺丁橡胶社会库存继续下降，上游丁二烯港口库存继续回升。综合来看，橡胶供应增加，下游需求一般，现货继续去库，成本支撑减弱，外部环境变差，策略上观望。
合成橡胶 0  国际原油期货价格震荡偏弱，外盘丁二烯港口价亚洲持稳而欧洲上涨。目前东南亚天然橡胶供应由低产期进入增产期，中国云南产区陆续开割，海南产区试割，越南产区即将试割，密切关注产区物候天气；上周国内丁二烯橡胶装置开工率小幅回升。上周国内轮胎开工率小幅回落，主要受清明假期和个别企业检修的影响。本周青岛地区天然橡胶总库存回落，上周中国顺丁橡胶社会库存继续下降，上游丁二烯港口库存继续回升。综合来看，橡胶供应增加，下游需求一般，现货继续去库，成本支撑减弱，外部环境变差，策略上观望。
豆粕 -1  美元指数加速上涨，施压商品价格，美豆隔夜收盘下跌。美豆开始播种，截止4月14日，美大豆播种进度3%，高于市场预期的2%，去年同期3%，五年均值1%，开局播种天气良好。CONAB下调巴西23/24大豆产量至1.465亿吨，整体维持丰产格局。国内现货市场情绪一般，基差持续稳定，华东市场价格-100基差，全国洼地。短期市场宏观影响较大，波动加剧，建议控制头寸和价格风险。
棕榈油 0.7  海外巴西大豆收获近尾声，阿根廷大豆逐步收获，后续关注南美大豆上市对贴水市场的测试。虽然盘面压榨利润转好，但是弱基差下，大豆企业压榨利润还是差。后期若贴水再次下跌的话，我们预计会优先去修复压榨利润，剩下的部分可以在基差上灵活调整，贴水预计打压国内盘面的力度有限，国内盘面油粕底部已经探明了。美国方面逐步进入播种期，今年美国方面扩张大豆面积，但是由于盘面价格偏低，种植利润被大幅挤压，目前利润不高，所以对CBOT大豆盘面预计也有底部支撑。棕榈油方面二季度进入季节性增长期，需要时间去观测下东南亚棕榈油增产期的表现，棕榈油容易影响整体植物油的价格，油脂一季度涨势过快，或会转为宽幅震荡去等待观测东南亚棕榈油的产量表现。二季度豆类逐步进入种植生长期，天气的不确定性影响下，预计海外盘面提振的动力对粕的带动更大，阶段性表现会好于油。油脂单边方面短期要注意在前期涨幅过快之后面临调整的风险。中期油脂油料驱动题材较多，需要把震荡区间拉宽，豆棕油维持逢低多配的思路，要防范波动较大的风险。
豆油 0.7  海外巴西大豆收获近尾声，阿根廷大豆逐步收获，后续关注南美大豆上市对贴水市场的测试。虽然盘面压榨利润转好，但是弱基差下，大豆企业压榨利润还是差。后期若贴水再次下跌的话，我们预计会优先去修复压榨利润，剩下的部分可以在基差上灵活调整，贴水预计打压国内盘面的力度有限，国内盘面油粕底部已经探明了。美国方面逐步进入播种期，今年美国方面扩张大豆面积，但是由于盘面价格偏低，种植利润被大幅挤压，目前利润不高，所以对CBOT大豆盘面预计也有底部支撑。棕榈油方面二季度进入季节性增长期，需要时间去观测下东南亚棕榈油增产期的表现，棕榈油容易影响整体植物油的价格，油脂一季度涨势过快，或会转为宽幅震荡去等待观测东南亚棕榈油的产量表现。二季度豆类逐步进入种植生长期，天气的不确定性影响下，预计海外盘面提振的动力对粕的带动更大，阶段性表现会好于油。油脂单边方面短期要注意在前期涨幅过快之后面临调整的风险。中期油脂油料驱动题材较多，需要把震荡区间拉宽，豆棕油维持逢低多配的思路，要防范波动较大的风险。
菜粕 0  隔夜外盘加菜籽下跌1.4%，油籽市场普遍下跌使得夜盘粕类回吐昨日涨幅。虽然北美油籽新作播种在即，期价下方存在支撑且存在天气看点，但当前年度供应充裕的问题仍是压制当前价格向上波动的因素，多空交织状态下菜籽与菜粕价格存在震荡加剧的可能。菜油受制于国内宽松的供给预期，加之植物油需求整体疲软，因此菜油的方向性驱动力较弱，以跟随植物油板块波动为主。菜粕即将迎来水产饲料旺季，同时与豆粕、葵粕相比其具备性价比，仍考虑中期看涨菜粕2409单边及菜粕9-1价差。



光大

股指 -0.7  昨日，A股市场普遍回调，其中小盘指数跌幅较为明显。Wind全A收跌2.96%，成交额9500亿元。中证1000下跌4.18%，中证500下跌2.77%，沪深300下跌1.07%，上证50下跌0.48%。近期，新版“国九条”发布，其致力于通过加强资本市场监管来进一步推动金融市场整体性的高质量发展，从而切实保护投资者利益。在此背景下，沪深交易所发布股票上市规则征求意见稿，提高上市公司财务指标准入门槛，提高上市公司分红要求。同时，证监会发布《严格执行退市制度的意见》，对于财务报表造假等违法违规事项的退市要求更趋严格。市场对于部分不符合要求的上市公司是否会拖累指数存在观望情绪，短期内交易情绪有所回落。但是，中长期维度上，上述措施无疑将进一步提升上市公司盈利质量，促进A股整体估值中枢的上移。基差方面，IM2404基差-11.66，IC2404基差6.45，IF2404基差2.89，IH2404基差4.08。
国债 0  4月16日国债期货收盘全线上涨，30年期主力合约涨0.40%，10年期主力合约涨0.03%，5年期主力合约涨0.02%，2年期主力合约涨0.01%。公开市场方面，央行进行20亿元7天期逆回购操作，中标利率为1.80%，与此前持平。因有20亿元逆回购到期，无净投放。银存间质押式回购利率涨跌互现。1天期品种报1.7157%，涨0.67个基点；7天期报1.8155%，涨0.86个基点。一季度实际GDP同比增长5.3%，高于市场预期的4.9%。主要是固定资产投资拉动，3月社零在去年高基数情况下有所回落，地产延续低迷态势。3月经济数据显示当前需求不足的问题依然存在，国债收益率整体延续震荡走势。短期来看，资金宽松以及央行提及关注长端利率的背景下，短期国债收益率曲线陡峭化趋势有望延续。
焦煤 0  昨日焦煤盘面高位整理，截止日盘焦煤2409合约收盘价为1746元/吨，较上一个交易日收盘价上涨6元/吨，涨幅为0.34%，持仓量增加6093万手。据国家统计局数据，一季度原煤产量110556万吨，同比下降4.1%；其中3月份原煤产量39933万吨，同比下降4.2%。吕梁炼焦煤市场偏强运行，低硫焦精煤A≤12，S≤1.0，V≤22，G≥85出厂价现金含税1800元/吨。昨天焦企首轮提涨部分落地，煤焦市场情绪明显好转，下游焦企补库节奏加快，贸易商等投机需求也入场拿货，煤矿出货顺畅，主产地煤价普遍出现上涨。进口蒙煤方面，考虑到焦炭涨价预期增加，下游采购积极，口岸蒙煤市场成交活跃，价格继续小幅上涨，现蒙5原煤价格1280-1300元/吨，蒙3精煤价格1450-1470元/吨。预计短期焦煤盘面高位整理运行。
